timestamp,thumbnail_key,roblox_asset_id,status,impressions,qualified_plays,qualified_ptr,l7_qualified_ptr,average_session_minutes,winning_segments
2026-09-09T01:55:58Z,thumb-001,105752602804018,active,51099,1655,0.032388109356347485,0.033689115196466446,9.998266220092773,
2026-09-09T01:55:58Z,thumb-004,115018485400141,active,36956,899,0.02432622578201104,0.02466777339577675,10.414563179016113,
2026-09-09T01:55:58Z,thumb-006,119378623691930,active,36431,786,0.02157503225275178,0.0224399883300066,11.28396987915039,
2026-09-09T01:55:58Z,thumb-010,131322914796621,active,7827457,207345,0.026489446061473094,0.026795940473675728,10.141212463378906,0
2026-09-09T01:55:58Z,thumb-005,135302046982289,active,842,17,0.020190023752969122,0.020190022885799408,0.0,
2026-09-09T01:55:58Z,thumb-003,80777415079298,active,35864,858,0.023923711800133838,0.02456236630678177,10.483000755310059,
2026-09-09T01:55:58Z,thumb-009,83635153368591,active,,,,,,
2026-09-09T01:55:58Z,thumb-002,86495998669034,active,,,,,,
2026-09-09T01:55:58Z,thumb-008,90755579409823,active,,,,,,
2026-09-09T01:55:58Z,thumb-007,93423649249126,active,,,,,,
2026-09-09T01:58:52Z,thumb-001,105752602804018,active,51099,1655,0.032388109356347485,0.033689115196466446,9.998266220092773,
2026-09-09T01:58:52Z,thumb-004,115018485400141,active,36956,899,0.02432622578201104,0.02466777339577675,10.414563179016113,
2026-09-09T01:58:52Z,thumb-006,119378623691930,active,36431,786,0.02157503225275178,0.0224399883300066,11.28396987915039,
2026-09-09T01:58:52Z,thumb-010,131322914796621,active,7827457,207345,0.026489446061473094,0.026795940473675728,10.141212463378906,0
2026-09-09T01:58:52Z,thumb-005,135302046982289,active,842,17,0.020190023752969122,0.020190022885799408,0.0,
2026-09-09T01:58:52Z,thumb-003,80777415079298,active,35864,858,0.023923711800133838,0.02456236630678177,10.483000755310059,
2026-09-09T01:58:52Z,thumb-009,83635153368591,active,,,,,,
2026-09-09T01:58:52Z,thumb-002,86495998669034,active,,,,,,
2026-09-09T01:58:52Z,thumb-008,90755579409823,active,,,,,,
2026-09-09T01:58:52Z,thumb-007,93423649249126,active,,,,,,
2026-09-09T02:02:04Z,thumb-001,105752602804018,active,51099,1655,0.032388109356347485,0.033689115196466446,9.998266220092773,
2026-09-09T02:02:04Z,thumb-004,115018485400141,inactive,36956,899,0.02432622578201104,0.02466777339577675,10.414563179016113,
2026-09-09T02:02:04Z,thumb-006,119378623691930,inactive,36431,786,0.02157503225275178,0.0224399883300066,11.28396987915039,
2026-09-09T02:02:04Z,thumb-010,131322914796621,active,7827457,207345,0.026489446061473094,0.026795940473675728,10.141212463378906,0
2026-09-09T02:02:04Z,thumb-005,135302046982289,inactive,842,17,0.020190023752969122,0.020190022885799408,0.0,
2026-09-09T02:02:04Z,thumb-003,80777415079298,inactive,35864,858,0.023923711800133838,0.02456236630678177,10.483000755310059,
2026-09-09T02:02:04Z,thumb-009,83635153368591,inactive,,,,,,
2026-09-09T02:02:04Z,thumb-002,86495998669034,active,,,,,,
2026-09-09T02:02:04Z,thumb-008,90755579409823,inactive,,,,,,
2026-09-09T02:02:04Z,thumb-007,93423649249126,active,,,,,,
2026-09-09T02:03:33Z,thumb-001,105752602804018,active,51099,1655,0.032388109356347485,0.033689115196466446,9.998266220092773,
2026-09-09T02:03:33Z,thumb-004,115018485400141,inactive,36956,899,0.02432622578201104,0.02466777339577675,10.414563179016113,
2026-09-09T02:03:33Z,thumb-006,119378623691930,inactive,36431,786,0.02157503225275178,0.0224399883300066,11.28396987915039,
2026-09-09T02:03:33Z,thumb-010,131322914796621,active,7827457,207345,0.026489446061473094,0.026795940473675728,10.141212463378906,0
2026-09-09T02:03:33Z,thumb-005,135302046982289,inactive,842,17,0.020190023752969122,0.020190022885799408,0.0,
2026-09-09T02:03:33Z,thumb-003,80777415079298,inactive,35864,858,0.023923711800133838,0.02456236630678177,10.483000755310059,
2026-09-09T02:03:33Z,thumb-009,83635153368591,inactive,,,,,,
2026-09-09T02:03:33Z,thumb-002,86495998669034,active,,,,,,
